Parameter,Standard Error
0.5888589770952246,0.34088208963933336
-0.3430312279379355,
-25750.958830012532,
2963493.6357460245,
-0.14475652200655975,
-0.8235446830153884,
-0.8455278982608805,
0.1730066242464477,
0.8609324887803939,0.20225135377997208
-58107.70729514289,
0.021880342615289632,0.12408234751203144
-0.061762794191376036,0.3183818129770996
0.03698475554802412,0.1817917031575101
-0.21703241692958844,0.31812271449803947
-0.02084078961136474,0.2599141025595073
72869.46993028674,
-0.04683942226126069,0.16322758910065113
0.0,0.0
0.0,0.0
0.0,0.0
0.13467548738701812,0.0495532240981165
0.13383561977622324,
-0.38205863018827046,0.10163586531346261
0.0,0.0
0.07264010594562893,0.04737311924165093
-1.6709883596903836,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.27887623761228947,
0.0,0.0
1.0106108482691747,0.15236013183624492
0.3792420160176058,0.09297384198816157
0.4759506126938402,0.09405245759958156
0.0,0.0
0.0,0.0
-0.15874132687270356,0.0653406406394407
0.0,0.0
0.0,0.0
-0.09386893889019945,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.35689656671149633,0.14202504758414902
0.13476565082322986,0.11578444221976943
-0.49198517554427146,0.12192118810042925
0.0,0.0
-0.5158906890304539,0.22149722292849472
0.18370310198238943,
0.0,0.0
-0.47238011832084814,0.14156924395346704
0.13711174067207912,
-0.20480569363627105,0.11064617660653477
0.397204053638967,0.17881847712290788
1.605731275218598,
-0.01850804969220722,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.23238568176626415,0.05204529634412136
0.21377071642480688,0.10191649252108054
-0.3364343879581987,
0.0,0.0
-0.09341169231391562,
0.07440783377676459,0.06456501881236863
0.09547370113674318,
-0.20502761562270927,0.10673800568092069
0.6732690985366805,
-0.3575614160601611,0.18566541316724486
0.4369859684125708,0.15545025220063807
-0.14554566479572084,
-0.009099415243984678,0.09794004379241626
0.22435858189607946,0.2610924903999217
-0.431958074890004,
-0.5809548824762522,
-0.23925681992899867,
0.28391603796345155,0.18690386409683793
0.0,0.0
0.0,0.0
0.08247555250241519,0.2885981838845704
-0.5494885226726955,0.1220516686414171
0.0505646372590793,0.13568183777133566
0.14622972314439847,
0.0,0.0
-0.19996954630524977,
0.14196546058570955,0.18468074421398786
-0.058337319901583966,0.14148501184963636
0.32122377712379196,0.18185422364119258
0.22948469439186195,0.20725420287360002
0.0,0.0
0.36866655399792175,
0.8574734113739936,0.18292263224147481
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.56905593635563,0.12661767954688624
0.14313436801107313,0.10864884164818053
-0.1158733119681559,0.12696093614336718
0.0,0.0
-0.3601747204532133,0.1666553728906553
0.44928959307881816,0.14192243871813326
0.0,0.0
0.22979944266090857,0.17856326884980955
0.0,0.0
0.0,0.0
0.0,0.0
0.06773435878429744,0.061987292009545766
0.0,0.0
-0.6879762417708456,0.12435399503788622
0.0,0.0
0.0,0.0
0.17070329576817309,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.3071382582446746,0.0955754316973287
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.5679282471421582,0.04820102810441245
0.05221739226592746,
0.0,0.0
-0.6618905151717801,
0.15482123720238725,0.06958990394969186
0.3021913583619121,
0.2171660083000019,
0.21613182909802509,
0.5759249810858071,
0.05699241998805618,
0.24187237413355542,
0.0,0.0
-0.1747299020724302,
-0.06272364290107191,
0.0784339482940474,
0.14191225156352483,
0.0,0.0
0.0,0.0
0.0731947215363263,
-0.4452188155607954,
0.0,0.0
0.018724194932960254,0.07753170664558229
0.0,0.0
0.48837085904452393,
0.10841597878324669,
0.2948129497888119,
-0.012587128293957361,0.05445182005576894
0.15352194940742245,
-1.2469044851702549,
1.7214886242836702,0.05094624566606478
0.7337332589139217,
-0.22736789020013326,
0.0,0.0
-0.35804418247218045,
-0.13401572934672365,
-0.6283827235930041,
0.4032409162859476,
-0.07165141556720633,0.38917659855078485
-0.016972845779736317,0.1624849912456364
0.00520502554884814,0.1328084713110322
-0.052623265751452514,0.14124200119866323
0.1255668067503035,0.23099302464999857
0.048520625685773325,0.23371815921857791
0.018475988763042128,0.16850089323523745
-0.011385881541212105,0.15844328514395623
-0.053213561733873864,0.20931198656601305
-0.013654355854169409,0.22131262971426752
0.014860186116690618,0.23887467578234528
0.014335298832443933,0.30465044912511946
-0.07424988852311896,0.14843305649546262
-0.013844367778831829,0.07481950040792093
0.0021448695679620964,0.1849703362412962
-0.006423411448522671,0.0412606811676908
0.006931462486408928,0.2153280189073284
-0.008539701366375508,0.11136007710573483
0.0830863556538696,0.1764236359839333
0.0,0.0
0.0,0.0
-0.3564601688774813,0.12210330968437567
0.4620461606780561,0.0608919901122261
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.10777845031494585,0.14588175605092857
0.0,0.0
0.18757164812284366,0.12142712037272053
-0.20655940766828518,
0.0,0.0
0.0,0.0
0.0,0.0
-0.08546311948893062,0.03775610937387681
-0.3433628432314009,0.1521398100588696
0.34920776246479424,0.10055752448861537
-0.5869607039466809,
0.0,0.0
0.0,0.0
0.3264840700806231,
0.17450843268506133,0.08554293386020662
0.0,0.0
0.0,0.0
0.24547994962874412,
-0.4580609425375557,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.5914101510287008,
0.0,0.0
0.0,0.0
0.0,0.0
-0.04573828131060581,0.02861053973789172
0.0,0.0
0.0,0.0
-0.9088122957468163,0.08815399537020857
0.0,0.0
0.4808002331949312,0.0816223922186065
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.10244961288381202,0.14096179398394543
0.0,0.0
0.0,0.0
0.0,0.0
0.4480805756007941,
0.0,0.0
0.3983920080228359,0.13346372095751388
-0.08784271488493281,0.1514903370596194
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.7826730014264766,0.17873550904998664
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.7490301225796602,
-0.6859922783014851,0.07032421640114979
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.6654464157769656,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.7642881773800282,
0.8692406770628558,
0.0,0.0
0.0,0.0
0.2413730810548243,0.08123609159920947
0.0,0.0
-0.943522484652278,0.09439795315591988
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06913619568853593,0.02736408349588735
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
34.39658409986088,
